hidden_neurons,hidden_layers,activation,learning_rate,batch_size,num_epochs,dropout_prob,test_score
2,32,leaky_relu,0.001,512,20,0.1,-8.15E-08
2,8,leaky_relu,0.0001,512,20,0.5,-5.59E-08
2,32,leaky_relu,0.001,1024,20,0.4,-5.53E-08
16,16,leaky_relu,0.0001,512,20,0.4,-5.30E-08
1,8,leaky_relu,0.0001,1024,20,0.1,-4.82E-08
1,32,leaky_relu,0.0001,1024,20,0.4,-4.71E-08
2,32,leaky_relu,0.001,512,20,0.3,-3.76E-08
4,8,leaky_relu,0.0001,1024,20,0.3,-3.71E-08
2,32,leaky_relu,0.0001,1024,20,0.3,-2.85E-08
16,16,leaky_relu,0.001,1024,20,0.2,-2.33E-08
2,16,leaky_relu,0.0001,1024,20,0.2,-1.97E-08
1,32,leaky_relu,0.0001,1024,20,0.1,-1.70E-08
4,16,leaky_relu,0.0001,1024,20,0.2,-1.62E-08
4,32,leaky_relu,0.0001,512,20,0.4,-1.48E-08
1,16,leaky_relu,0.0001,512,20,0.1,-1.26E-08
2,8,leaky_relu,0.0001,1024,20,0.3,-9.40E-09
1,8,leaky_relu,0.0001,512,20,0.1,-8.76E-09
1,32,leaky_relu,0.0001,512,20,0.2,-8.31E-09
1,32,leaky_relu,0.0001,1024,20,0.2,-6.55E-09
1,32,leaky_relu,0.001,1024,20,0.1,-6.48E-09
2,16,leaky_relu,0.0001,512,20,0.1,-4.18E-09
2,32,leaky_relu,0.001,1024,20,0.1,-2.18E-09
2,8,leaky_relu,0.0001,512,20,0.1,-9.97E-10
2,8,leaky_relu,0.0001,1024,20,0.2,-8.96E-10
16,16,leaky_relu,0.0001,512,20,0.1,1.09E-08
4,16,leaky_relu,0.0001,1024,20,0.5,1.73E-08
8,16,leaky_relu,0.0001,512,20,0.4,3.43E-08
16,16,leaky_relu,0.0001,1024,20,0.2,4.98E-08
2,32,leaky_relu,0.0001,512,20,0.5,5.98E-08
16,32,leaky_relu,0.0001,512,20,0.3,1.72E-07
2,8,leaky_relu,0.0001,512,20,0.4,3.46E-07
16,32,leaky_relu,0.0001,1024,20,0.2,3.78E-07
8,32,leaky_relu,0.0001,512,20,0.5,5.29E-07
4,32,leaky_relu,0.001,512,20,0.3,5.60E-07
16,16,leaky_relu,0.0001,1024,20,0.3,1.23E-06
1,4,leaky_relu,0.0001,512,20,0.5,0.010361592
1,4,leaky_relu,0.001,1024,20,0.5,0.029791263
1,4,leaky_relu,0.0001,1024,20,0.5,0.029981923
1,4,leaky_relu,0.0001,512,20,0.3,0.038527522
1,4,leaky_relu,0.001,512,20,0.5,0.056212846
1,4,leaky_relu,0.001,1024,20,0.4,0.062727874
1,4,leaky_relu,0.0001,1024,20,0.4,0.063250102
1,4,leaky_relu,0.0001,512,20,0.4,0.064350344
1,4,leaky_relu,0.001,512,20,0.4,0.066909661
2,4,leaky_relu,0.0001,1024,20,0.5,0.087161065
4,8,leaky_relu,0.0001,1024,20,0.5,0.094311493
1,4,leaky_relu,0.0001,512,20,0.2,0.095549602
2,4,leaky_relu,0.001,512,20,0.5,0.103972584
1,2,leaky_relu,0.0001,512,20,0.5,0.117136086
1,2,leaky_relu,0.001,1024,20,0.5,0.120904465
1,4,leaky_relu,0.001,1024,20,0.3,0.122105725
1,2,leaky_relu,0.0001,1024,20,0.5,0.122911237
16,16,leaky_relu,0.0001,512,20,0.5,0.124110061
2,4,leaky_relu,0.0001,512,20,0.5,0.124563457
1,4,leaky_relu,0.0001,1024,20,0.3,0.126062748
4,8,leaky_relu,0.001,512,20,0.5,0.144120671
2,4,leaky_relu,0.001,1024,20,0.5,0.146019034
4,8,leaky_relu,0.001,1024,20,0.5,0.153521056
1,2,leaky_relu,0.0001,512,20,0.4,0.179525476
2,4,leaky_relu,0.0001,1024,20,0.4,0.189755759
4,8,leaky_relu,0.0001,1024,20,0.4,0.205100568
1,4,leaky_relu,0.0001,1024,20,0.2,0.213040647
2,4,leaky_relu,0.0001,512,20,0.4,0.215770603
1,4,leaky_relu,0.001,512,20,0.3,0.21624565
1,4,leaky_relu,0.001,512,20,0.2,0.2203305
1,2,leaky_relu,0.001,512,20,0.5,0.227075572
1,4,leaky_relu,0.0001,1024,20,0.1,0.233440058
1,2,leaky_relu,0.0001,1024,20,0.3,0.240005376
4,8,leaky_relu,0.001,512,20,0.4,0.241868047
1,2,leaky_relu,0.0001,1024,20,0.4,0.252687916
2,4,leaky_relu,0.001,512,20,0.4,0.252904724
2,4,leaky_relu,0.0001,1024,20,0.3,0.255696613
1,1,leaky_relu,0.001,1024,20,0.5,0.262583172
1,1,leaky_relu,0.001,512,20,0.5,0.26331954
1,2,leaky_relu,0.0001,512,20,0.3,0.265493259
1,2,leaky_relu,0.001,1024,20,0.3,0.266957635
1,1,leaky_relu,0.0001,512,20,0.5,0.267387645
2,4,leaky_relu,0.001,1024,20,0.4,0.268212445
2,4,leaky_relu,0.001,512,20,0.3,0.271667642
1,1,leaky_relu,0.0001,1024,20,0.5,0.273858339
4,4,leaky_relu,0.0001,512,20,0.5,0.279677471
4,4,leaky_relu,0.0001,1024,20,0.5,0.281987723
4,4,leaky_relu,0.001,512,20,0.5,0.28544778
2,2,leaky_relu,0.0001,1024,20,0.5,0.29991628
1,2,leaky_relu,0.001,512,20,0.4,0.322438036
1,1,leaky_relu,0.0001,1024,20,0.4,0.327253491
1,2,leaky_relu,0.001,1024,20,0.4,0.328698281
1,1,leaky_relu,0.001,1024,20,0.4,0.329422325
4,4,leaky_relu,0.001,1024,20,0.5,0.33888224
1,1,leaky_relu,0.0001,512,20,0.4,0.346602355
2,2,leaky_relu,0.001,1024,20,0.5,0.347334766
1,1,leaky_relu,0.001,512,20,0.4,0.347497392
2,2,leaky_relu,0.001,512,20,0.5,0.350205172
8,8,leaky_relu,0.0001,512,20,0.5,0.353135605
2,4,leaky_relu,0.0001,512,20,0.3,0.354017179
8,8,leaky_relu,0.0001,1024,20,0.5,0.363392476
1,2,leaky_relu,0.0001,1024,20,0.2,0.367513114
1,2,leaky_relu,0.001,1024,20,0.2,0.369056964
